635994.6	3049663.1	0
635985.4	3049656.2	0
635976.8	3049649.9	0
635968.2	3049647.8	0
635959.3	3049646.2	0
635952	3049645	0
635944.1	3049643.1	0
635935.1	3049642.2	0
635926.7	3049642.5	0
635918.7	3049642.6	0
635911.5	3049643.1	0
635904.3	3049644.7	0
635897.3	3049647.4	0
635888.9	3049650.8	0
635880.4	3049652.7	0
635872.4	3049654.3	0
635864	3049655.3	0
635857.4	3049653.8	0
635849.8	3049652.2	0
635843.6	3049651.4	0
635836.9	3049650.2	0
635831.3	3049649.3	0
635824	3049648.6	0
635816.2	3049648.9	0
635806.1	3049647.2	0
635800.6	3049643.5	0
635793.4	3049639.1	0
635786.9	3049634	0
635780.8	3049630.3	0
635773.5	3049627.3	0
635768.2	3049624.2	0
635754.7	3049620.8	0
635761.2	3049622	0
635748.6	3049620.1	0
635742.3	3049619.3	0
635735.8	3049620.1	0
635729	3049623.5	0
635722	3049627.9	0
635713.7	3049632.1	0
635706.6	3049637.3	0
635696.7	3049641.5	0
635686.3	3049645.4	0
635677.5	3049647.7	0
635668.8	3049650.2	0
635659.8	3049655.9	0
635652	3049659.2	0
635641.8	3049661.2	0
635635.5	3049663	0
635629.5	3049664.6	0
635624.3	3049665.7	0
635617.9	3049665.5	0
635612.8	3049664.1	0
635607.1	3049662.7	0
635600.5	3049660.4	0
635593.7	3049659.7	0
635587.4	3049659.4	0
635582.4	3049659.4	0
635577.7	3049659.3	0
635572.9	3049659.6	0
635568.1	3049659.5	0
635563.8	3049659.7	0
635559.3	3049660.3	0
635553.9	3049662.5	0
635549.9	3049664.9	0
635546.1	3049668.3	0
635541.8	3049670.2	0
635535.3	3049671.7	0
635530	3049673.4	0
635523.7	3049673	0
635519.1	3049674.5	0
635514.1	3049675.9	0
635507.8	3049676.8	0
635503.2	3049676.6	0
635498.2	3049676.5	0
635494.1	3049676.3	0
635489.1	3049676	0
635485.4	3049678.6	0
635485.3	3049678.7	0
635483.3	3049681.9	0
635483	3049682.3	0
635482.8	3049682.6	0
635482.7	3049682.8	0
635481	3049687.4	0
635478.4	3049693	0
635478	3049697.8	0
635480.6	3049702.5	0
635483.2	3049704.8	0
635488.3	3049705.5	0
635490.2	3049708.4	0
635485.8	3049713.6	0
635484.7	3049715.8	0
