   634122.000       3046767.00      -9999.00000    
   634162.000       3046767.00      -9999.00000    
   634202.000       3046767.00      -9999.00000    
   634242.000       3046767.00      -9999.00000    
   634282.000       3046767.00      -9999.00000    
   634322.000       3046767.00      -9999.00000    
   634362.000       3046767.00      -9999.00000    
   634402.000       3046767.00      -9999.00000    
   634442.000       3046767.00      -9999.00000    
   634482.000       3046767.00      -9999.00000    
   634522.000       3046767.00      -9999.00000    
   634562.000       3046767.00      -9999.00000    
   634602.000       3046767.00      -9999.00000    
   634642.000       3046767.00      -9999.00000    
   634682.000       3046767.00      -9999.00000    
   634722.000       3046767.00      -9999.00000    
   634762.000       3046767.00      -9999.00000    
   634802.000       3046767.00      -9999.00000    
   634842.000       3046767.00       324.600006    
   634882.000       3046767.00       322.799988    
   634922.000       3046767.00       320.200012    
   634962.000       3046767.00      -9999.00000    
   635002.000       3046767.00      -9999.00000    
   635042.000       3046767.00      -9999.00000    
   635082.000       3046767.00      -9999.00000    
   635122.000       3046767.00      -9999.00000    
   635162.000       3046767.00      -9999.00000    
   635202.000       3046767.00      -9999.00000    
   635242.000       3046767.00      -9999.00000    
   635282.000       3046767.00      -9999.00000    
   635322.000       3046767.00      -9999.00000    
   635362.000       3046767.00      -9999.00000    
   635402.000       3046767.00      -9999.00000    
   635442.000       3046767.00      -9999.00000    
   635482.000       3046767.00      -9999.00000    
   635522.000       3046767.00      -9999.00000    
   635562.000       3046767.00      -9999.00000    
   635602.000       3046767.00      -9999.00000    
   635642.000       3046767.00      -9999.00000    
   635682.000       3046767.00      -9999.00000    
   635722.000       3046767.00      -9999.00000    
   635762.000       3046767.00      -9999.00000    
   635802.000       3046767.00      -9999.00000    
   635842.000       3046767.00      -9999.00000    
   635882.000       3046767.00      -9999.00000    
   635922.000       3046767.00      -9999.00000    
   635962.000       3046767.00      -9999.00000    
   636002.000       3046767.00      -9999.00000    
   636042.000       3046767.00      -9999.00000    
   636082.000       3046767.00      -9999.00000    
   636122.000       3046767.00      -9999.00000    
   636162.000       3046767.00      -9999.00000    
   636202.000       3046767.00      -9999.00000    
   636242.000       3046767.00      -9999.00000    
   636282.000       3046767.00      -9999.00000    
   636322.000       3046767.00      -9999.00000    
